,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Will Rashid Khan participate in upcoming PSL 9?,Rashid recently underwent a lower-back surgery,,https://tribune.com.pk/story/2453536/will-rashid-khan-participate-in-upcoming-psl-9,sports,2024-01-17,
1,Santner commends Pakistan's competitiveness despite NZ's dominant series win,Santner commended the Pakistan cricket team for their performance in the series,,https://tribune.com.pk/story/2453529/santner-commends-pakistans-competitiveness-despite-nzs-dominant-series-win,sports,2024-01-17,
2,"Shaheen applauds Babar's brilliance, sees promise in Saim despite series loss",Afridi acknowledged the challenges faced by a young player in such conditions,,https://tribune.com.pk/story/2453522/shaheen-applauds-babars-brilliance-sees-promise-in-saim-despite-series-loss,sports,2024-01-17,
