,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,"Iftikhar Ahmed joins Multan Sultans, Rossouw returns to Quetta Gladiators",The trade deal with Quetta Gladiators also sees Multan Sultans get the first pick in the platinum round,,https://tribune.com.pk/story/2448491/iftikhar-ahmed-joins-multan-sultans-rossouw-returns-to-quetta-gladiators,sports,2023-11-30,
1,PCB reveals schedule of National T20 Super 8,"Following the Super Eight stage, the top four teams will qualify for the semi-finals",,https://tribune.com.pk/story/2448487/pcb-reveals-schedule-of-national-t20-super-8,sports,2023-11-30,
2,Pakistan Test squad departs for Australia tour,The Pakistan Test squad commenced their journey to Australia from Lahore on Thursday morning,,https://tribune.com.pk/story/2448463/pakistan-test-squad-departs-for-australia-tour,sports,2023-11-30,
3,This is the strongest Pakistan batting lineup coming to Australia: Usman Khawaja,Khawaja commended Babar's ability to score runs not only in Pakistan but also on overseas pitches,,https://tribune.com.pk/story/2448461/this-is-the-strongest-pakistan-batting-lineup-coming-to-australia-usman-khawaja,sports,2023-11-30,
