,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,Adam Hollioake reveals how he landed Pakistan batting coach job,Hollioake admitted to being unaware of Pakistan's subsequent tour to New Zealand,,https://tribune.com.pk/story/2448602/adam-hollioake-reveals-how-he-landed-pakistan-batting-coach-job,sports,2023-12-01,
1,"Imad Wasim opens up about retirement, possible comeback, leaving Karachi Kings","Amidst his retirement announcement, Imad also bid farewell to Karachi Kings",,https://tribune.com.pk/story/2448589/imad-wasim-opens-up-about-retirement-possible-comeback-leaving-karachi-kings,sports,2023-12-01,
2,PCB announces selection panel for Pakistan cricket team,"Kamran Akmal, Rao Iftikhar Anjum and Salman Butt have assumed their responsibilities in the selection panel",,https://tribune.com.pk/story/2448587/pcb-announces-selection-panel-for-pakistan-cricket-team,sports,2023-12-01,
3,Australian Prime Minister to host Pakistan cricket team at PM house,The Men in Green have reached Canberra after arriving in Sydney on Friday morning,,https://tribune.com.pk/story/2448583/australian-prime-minister-to-host-pakistan-cricket-team-at-pm-house,sports,2023-12-01,
4,"Mitchell Marsh expects fast, bouncy pitch for Perth Test against Pakistan","Marsh praised the Perth stadium's wicket, calling it the best in the world",,https://tribune.com.pk/story/2448576/mitchell-marsh-expects-fast-bouncy-pitch-for-perth-test-against-pakistan,sports,2023-12-01,
